"solarSystemID";"solarSystemName";"class";"effect";"static1";"static2"
"31000140";"J125209";"1";"Magnetar";"N110";
"31000128";"J105942";"1";"Cataclysmic Variable";"J244";
"31000127";"J125011";"1";;"J244";
"31000126";"J134132";"1";;"J244";
"31000125";"J134637";"1";;"J244";
"31000124";"J141812";"1";;"J244";
"31000123";"J164550";"1";"Magnetar";"J244";
"31000122";"J172907";"1";"Pulsar";"J244";
"31000121";"J120522";"1";;"J244";
"31000120";"J114905";"1";;"J244";
"31000129";"J171653";"1";;"J244";
"31000130";"J110213";"1";;"J244";
"31000139";"J163804";"1";"Wolf-Rayet Star";"J244";
"31000138";"J140602";"1";;"J244";
"31000137";"J110651";"1";;"J244";
"31000136";"J215900";"1";"Cataclysmic Variable";"J244";
"31000135";"J231541";"1";;"J244";
"31000134";"J123047";"1";;"J244";
"31000133";"J123111";"1";;"J244";
"31000132";"J174405";"1";"Wolf-Rayet Star";"J244";
"31000131";"J115048";"1";;"J244";
"31000119";"J115545";"1";;"J244";
"31000118";"J141239";"1";;"J244";
"31000117";"J144450";"1";;"J244";
"31000105";"J215117";"1";;"J244";
"31000104";"J101408";"1";;"J244";
"31000103";"J135245";"1";;"J244";
"31000102";"J111707";"1";;"J244";
"31000101";"J135250";"1";;"J244";
"31000100";"J214534";"1";;"J244";
"31000099";"J134143";"1";;"J244";
"31000098";"J164927";"1";;"J244";
"31000097";"J123831";"1";;"J244";
"31000106";"J141019";"1";;"J244";
"31000107";"J102206";"1";;"J244";
"31000116";"J155013";"1";;"J244";
"31000115";"J114540";"1";;"J244";
"31000114";"J121516";"1";;"J244";
"31000113";"J104138";"1";"Magnetar";"J244";
"31000112";"J224442";"1";"Black Hole";"J244";
"31000111";"J152537";"1";"Black Hole";"J244";
"31000110";"J162641";"1";"Red Giant";"J244";
"31000109";"J134939";"1";;"J244";
"31000108";"J125903";"1";;"J244";
"31000096";"J123708";"1";;"J244";
"31000185";"J133335";"1";;"N110";
"31000173";"J101020";"1";;"N110";
"31000172";"J131232";"1";;"N110";
"31000171";"J153530";"1";;"N110";
"31000170";"J150407";"1";"Red Giant";"N110";
"31000169";"J153536";"1";;"N110";
"31000168";"J110545";"1";;"N110";
"31000167";"J215417";"1";;"N110";
"31000166";"J204503";"1";"Magnetar";"N110";
"31000165";"J235419";"1";;"N110";
"31000174";"J133613";"1";;"N110";
"31000175";"J165901";"1";;"N110";
